2020-09-23 14:47:40.536 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-1316"]
2020-09-23 14:47:40.547 [Thread-31] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2020-09-23 14:47:40.575 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 1316 (http) with context path ''
2020-09-23 14:47:40.576 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 1316
2020-09-23 14:47:40.578 [main] INFO  com.huaxing.site.gateway.euraka.App - Started App in 9.753 seconds (JVM running for 11.725)
2020-09-23 14:47:41.173 [RMI TCP Connection(4)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-23 14:47:41.173 [RMI TCP Connection(4)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-09-23 14:47:41.187 [RMI TCP Connection(4)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2020-09-23 14:47:45.536 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:47:50.537 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:47:55.538 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 1ms
2020-09-23 14:48:00.539 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:05.539 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:07.535 [http-nio-1316-exec-1] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance SYSTEM-SERVER/system-server:9002 with status UP (replication=false)
2020-09-23 14:48:08.312 [http-nio-1316-exec-5] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance SYSTEM-SERVER/system-server:9002 with status UP (replication=true)
2020-09-23 14:48:10.540 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:15.540 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:20.540 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:25.541 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2020-09-23 14:48:30.542 [Eureka-EvictionTimer] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
